ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       734
トリガ点,         0
開始時刻,2021-08-06,18:30:01
終了時刻,2021-08-06,18:42:14
トリガ時刻,2021-08-06,18:30:01
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/8/6,18:30:01,     0,- 0.048,- 0.058,LLLL,LLLL
         2,2021/8/6,18:30:02,     0,- 0.036,- 0.069,LLLL,LLLL
         3,2021/8/6,18:30:03,     0,- 0.053,- 0.106,LLLL,LLLL
         4,2021/8/6,18:30:04,     0,- 0.048,- 0.044,LLLL,LLLL
         5,2021/8/6,18:30:05,     0,- 0.049,- 0.082,LLLL,LLLL
         6,2021/8/6,18:30:06,     0,- 0.042,- 0.091,LLLL,LLLL
         7,2021/8/6,18:30:07,     0,- 0.042,- 0.084,LLLL,LLLL
         8,2021/8/6,18:30:08,     0,- 0.041,- 0.104,LLLL,LLLL
         9,2021/8/6,18:30:09,     0,- 0.026,- 0.107,LLLL,LLLL
        10,2021/8/6,18:30:10,     0,- 0.045,- 0.136,LLLL,LLLL
        11,2021/8/6,18:30:11,     0,- 0.040,- 0.095,LLLL,LLLL
        12,2021/8/6,18:30:12,     0,- 0.027,- 0.066,LLLL,LLLL
        13,2021/8/6,18:30:13,     0,- 0.032,- 0.103,LLLL,LLLL
        14,2021/8/6,18:30:14,     0,- 0.032,- 0.084,LLLL,LLLL
        15,2021/8/6,18:30:15,     0,- 0.087,- 0.086,LLLL,LLLL
        16,2021/8/6,18:30:16,     0,- 0.041,- 0.074,LLLL,LLLL
        17,2021/8/6,18:30:17,     0,- 0.017,- 0.369,LLLL,LLLL
        18,2021/8/6,18:30:18,     0,+ 0.113,+ 0.184,LLLL,LLLL
        19,2021/8/6,18:30:19,     0,- 0.084,+ 0.020,LLLL,LLLL
        20,2021/8/6,18:30:20,     0,+ 0.020,- 0.150,LLLL,LLLL
        21,2021/8/6,18:30:21,     0,- 0.069,- 0.369,LLLL,LLLL
        22,2021/8/6,18:30:22,     0,- 0.120,- 0.249,LLLL,LLLL
        23,2021/8/6,18:30:23,     0,- 0.231,- 0.359,LLLL,LLLL
        24,2021/8/6,18:30:24,     0,+ 0.056,- 0.245,LLLL,LLLL
        25,2021/8/6,18:30:25,     0,- 0.032,- 0.015,LLLL,LLLL
        26,2021/8/6,18:30:26,     0,- 0.092,- 0.369,LLLL,LLLL
        27,2021/8/6,18:30:27,     0,- 0.009,+ 0.086,LLLL,LLLL
        28,2021/8/6,18:30:28,     0,- 0.302,- 0.133,LLLL,LLLL
        29,2021/8/6,18:30:29,     0,- 0.055,+ 0.074,LLLL,LLLL
        30,2021/8/6,18:30:30,     0,+ 0.074,- 0.220,LLLL,LLLL
        31,2021/8/6,18:30:31,     0,+ 0.050,- 0.046,LLLL,LLLL
        32,2021/8/6,18:30:32,     0,+ 0.080,- 0.099,LLLL,LLLL
        33,2021/8/6,18:30:33,     0,+ 0.042,+ 0.042,LLLL,LLLL
        34,2021/8/6,18:30:34,     0,- 0.194,+ 0.215,LLLL,LLLL
        35,2021/8/6,18:30:35,     0,- 0.139,- 0.297,LLLL,LLLL
        36,2021/8/6,18:30:36,     0,+ 0.221,- 0.391,LLLL,LLLL
        37,2021/8/6,18:30:37,     0,- 0.024,- 0.063,LLLL,LLLL
        38,2021/8/6,18:30:38,     0,- 0.005,- 0.125,LLLL,LLLL
        39,2021/8/6,18:30:39,     0,+ 0.031,+ 0.257,LLLL,LLLL
        40,2021/8/6,18:30:40,     0,- 0.145,- 0.371,LLLL,LLLL
        41,2021/8/6,18:30:41,     0,- 0.213,+ 0.066,LLLL,LLLL
        42,2021/8/6,18:30:42,     0,- 0.003,- 0.163,LLLL,LLLL
        43,2021/8/6,18:30:43,     0,- 0.096,- 0.222,LLLL,LLLL
        44,2021/8/6,18:30:44,     0,+ 0.020,- 0.008,LLLL,LLLL
        45,2021/8/6,18:30:45,     0,- 0.036,+ 0.118,LLLL,LLLL
        46,2021/8/6,18:30:46,     0,+ 0.154,- 0.151,LLLL,LLLL
        47,2021/8/6,18:30:47,     0,- 0.028,- 0.186,LLLL,LLLL
        48,2021/8/6,18:30:48,     0,- 0.004,- 0.118,LLLL,LLLL
        49,2021/8/6,18:30:49,     0,+ 0.020,- 0.159,LLLL,LLLL
        50,2021/8/6,18:30:50,     0,- 0.096,+ 0.079,LLLL,LLLL
        51,2021/8/6,18:30:51,     0,- 0.179,+ 0.047,LLLL,LLLL
        52,2021/8/6,18:30:52,     0,- 0.349,- 0.024,LLLL,LLLL
        53,2021/8/6,18:30:53,     0,- 0.125,- 0.235,LLLL,LLLL
        54,2021/8/6,18:30:54,     0,- 0.071,- 0.069,LLLL,LLLL
        55,2021/8/6,18:30:55,     0,- 0.137,+ 0.071,LLLL,LLLL
        56,2021/8/6,18:30:56,     0,- 0.056,+ 0.183,LLLL,LLLL
        57,2021/8/6,18:30:57,     0,- 0.146,- 0.007,LLLL,LLLL
        58,2021/8/6,18:30:58,     0,- 0.238,- 0.209,LLLL,LLLL
        59,2021/8/6,18:30:59,     0,- 0.128,- 0.164,LLLL,LLLL
        60,2021/8/6,18:31:00,     0,- 0.252,- 0.411,LLLL,LLLL
        61,2021/8/6,18:31:01,     0,+ 0.040,+ 0.023,LLLL,LLLL
        62,2021/8/6,18:31:02,     0,- 0.269,- 0.043,LLLL,LLLL
        63,2021/8/6,18:31:03,     0,- 0.181,+ 0.048,LLLL,LLLL
        64,2021/8/6,18:31:04,     0,- 0.033,- 0.165,LLLL,LLLL
        65,2021/8/6,18:31:05,     0,- 0.072,- 0.203,LLLL,LLLL
        66,2021/8/6,18:31:06,     0,- 0.094,- 0.128,LLLL,LLLL
        67,2021/8/6,18:31:07,     0,- 0.315,+ 0.515,LLLL,LLLL
        68,2021/8/6,18:31:08,     0,+ 0.038,- 0.293,LLLL,LLLL
        69,2021/8/6,18:31:09,     0,+ 0.020,- 0.092,LLLL,LLLL
        70,2021/8/6,18:31:10,     0,- 0.166,- 0.031,LLLL,LLLL
        71,2021/8/6,18:31:11,     0,- 0.014,- 0.078,LLLL,LLLL
        72,2021/8/6,18:31:12,     0,- 0.003,+ 0.047,LLLL,LLLL
        73,2021/8/6,18:31:13,     0,- 0.164,+ 0.225,LLLL,LLLL
        74,2021/8/6,18:31:14,     0,- 0.230,+ 0.022,LLLL,LLLL
        75,2021/8/6,18:31:15,     0,- 0.072,- 0.136,LLLL,LLLL
        76,2021/8/6,18:31:16,     0,- 0.029,- 0.033,LLLL,LLLL
        77,2021/8/6,18:31:17,     0,+ 0.032,- 0.246,LLLL,LLLL
        78,2021/8/6,18:31:18,     0,- 0.125,+ 0.015,LLLL,LLLL
        79,2021/8/6,18:31:19,     0,- 0.143,- 0.306,LLLL,LLLL
        80,2021/8/6,18:31:20,     0,- 0.044,- 0.071,LLLL,LLLL
        81,2021/8/6,18:31:21,     0,- 0.097,- 0.178,LLLL,LLLL
        82,2021/8/6,18:31:22,     0,+ 0.190,- 0.130,LLLL,LLLL
        83,2021/8/6,18:31:23,     0,+ 0.123,+ 0.050,LLLL,LLLL
        84,2021/8/6,18:31:24,     0,- 0.155,- 0.055,LLLL,LLLL
        85,2021/8/6,18:31:25,     0,- 0.122,- 0.065,LLLL,LLLL
        86,2021/8/6,18:31:26,     0,- 0.098,+ 0.010,LLLL,LLLL
        87,2021/8/6,18:31:27,     0,- 0.033,- 0.227,LLLL,LLLL
        88,2021/8/6,18:31:28,     0,- 0.146,- 0.198,LLLL,LLLL
        89,2021/8/6,18:31:29,     0,- 0.306,- 0.148,LLLL,LLLL
        90,2021/8/6,18:31:30,     0,+ 0.085,- 0.367,LLLL,LLLL
        91,2021/8/6,18:31:31,     0,- 0.097,+ 0.070,LLLL,LLLL
        92,2021/8/6,18:31:32,     0,+ 0.095,- 0.049,LLLL,LLLL
        93,2021/8/6,18:31:33,     0,+ 0.074,- 0.020,LLLL,LLLL
        94,2021/8/6,18:31:34,     0,+ 0.100,+ 0.537,LLLL,LLLL
        95,2021/8/6,18:31:35,     0,- 0.293,+ 0.203,LLLL,LLLL
        96,2021/8/6,18:31:36,     0,- 0.187,- 0.078,LLLL,LLLL
        97,2021/8/6,18:31:37,     0,+ 0.056,- 0.117,LLLL,LLLL
        98,2021/8/6,18:31:38,     0,+ 0.031,+ 0.025,LLLL,LLLL
        99,2021/8/6,18:31:39,     0,- 0.011,- 0.180,LLLL,LLLL
       100,2021/8/6,18:31:40,     0,- 0.061,- 0.010,LLLL,LLLL
       101,2021/8/6,18:31:41,     0,- 0.050,- 0.300,LLLL,LLLL
       102,2021/8/6,18:31:42,     0,- 0.025,+ 0.120,LLLL,LLLL
       103,2021/8/6,18:31:43,     0,- 0.164,- 0.295,LLLL,LLLL
       104,2021/8/6,18:31:44,     0,+ 0.143,- 0.056,LLLL,LLLL
       105,2021/8/6,18:31:45,     0,- 0.003,- 0.090,LLLL,LLLL
       106,2021/8/6,18:31:46,     0,- 0.234,- 0.010,LLLL,LLLL
       107,2021/8/6,18:31:47,     0,- 0.069,- 0.283,LLLL,LLLL
       108,2021/8/6,18:31:48,     0,- 0.013,- 0.215,LLLL,LLLL
       109,2021/8/6,18:31:49,     0,+ 0.086,- 0.172,LLLL,LLLL
       110,2021/8/6,18:31:50,     0,+ 0.020,- 0.104,LLLL,LLLL
       111,2021/8/6,18:31:51,     0,- 0.103,- 0.288,LLLL,LLLL
       112,2021/8/6,18:31:52,     0,- 0.239,+ 0.239,LLLL,LLLL
       113,2021/8/6,18:31:53,     0,+ 0.013,- 0.072,LLLL,LLLL
       114,2021/8/6,18:31:54,     0,- 0.040,- 0.131,LLLL,LLLL
       115,2021/8/6,18:31:55,     0,+ 0.023,- 0.078,LLLL,LLLL
       116,2021/8/6,18:31:56,     0,- 0.073,+ 0.050,LLLL,LLLL
       117,2021/8/6,18:31:57,     0,- 0.224,+ 0.064,LLLL,LLLL
       118,2021/8/6,18:31:58,     0,+ 0.043,- 0.261,LLLL,LLLL
       119,2021/8/6,18:31:59,     0,+ 0.046,+ 0.118,LLLL,LLLL
       120,2021/8/6,18:32:00,     0,- 0.057,- 0.031,LLLL,LLLL
       121,2021/8/6,18:32:01,     0,- 0.135,+ 0.040,LLLL,LLLL
       122,2021/8/6,18:32:02,     0,+ 0.006,- 0.111,LLLL,LLLL
       123,2021/8/6,18:32:03,     0,+ 0.043,- 0.395,LLLL,LLLL
       124,2021/8/6,18:32:04,     0,+ 0.059,- 0.315,LLLL,LLLL
       125,2021/8/6,18:32:05,     0,+ 0.084,- 0.005,LLLL,LLLL
       126,2021/8/6,18:32:06,     0,- 0.037,- 0.028,LLLL,LLLL
       127,2021/8/6,18:32:07,     0,- 0.125,- 0.088,LLLL,LLLL
       128,2021/8/6,18:32:08,     0,- 0.108,+ 0.027,LLLL,LLLL
       129,2021/8/6,18:32:09,     0,+ 0.110,- 0.166,LLLL,LLLL
       130,2021/8/6,18:32:10,     0,+ 0.034,- 0.013,LLLL,LLLL
       131,2021/8/6,18:32:11,     0,- 0.156,- 0.069,LLLL,LLLL
       132,2021/8/6,18:32:12,     0,+ 0.061,+ 0.017,LLLL,LLLL
       133,2021/8/6,18:32:13,     0,+ 0.110,- 0.088,LLLL,LLLL
       134,2021/8/6,18:32:14,     0,- 0.173,+ 0.228,LLLL,LLLL
       135,2021/8/6,18:32:15,     0,- 0.048,- 0.223,LLLL,LLLL
       136,2021/8/6,18:32:16,     0,+ 0.092,- 0.197,LLLL,LLLL
       137,2021/8/6,18:32:17,     0,- 0.132,- 0.009,LLLL,LLLL
       138,2021/8/6,18:32:18,     0,+ 0.135,- 0.065,LLLL,LLLL
       139,2021/8/6,18:32:19,     0,- 0.169,+ 0.018,LLLL,LLLL
       140,2021/8/6,18:32:20,     0,- 0.407,- 0.257,LLLL,LLLL
       141,2021/8/6,18:32:21,     0,- 0.019,+ 0.117,LLLL,LLLL
       142,2021/8/6,18:32:22,     0,- 0.065,- 0.088,LLLL,LLLL
       143,2021/8/6,18:32:23,     0,- 0.109,- 0.343,LLLL,LLLL
       144,2021/8/6,18:32:24,     0,- 0.050,- 0.104,LLLL,LLLL
       145,2021/8/6,18:32:25,     0,- 0.062,- 0.075,LLLL,LLLL
       146,2021/8/6,18:32:26,     0,- 0.059,- 0.141,LLLL,LLLL
       147,2021/8/6,18:32:27,     0,+ 0.139,- 0.141,LLLL,LLLL
       148,2021/8/6,18:32:28,     0,- 0.120,- 0.369,LLLL,LLLL
       149,2021/8/6,18:32:29,     0,- 0.091,- 0.174,LLLL,LLLL
       150,2021/8/6,18:32:30,     0,- 0.159,+ 0.006,LLLL,LLLL
       151,2021/8/6,18:32:31,     0,+ 0.045,- 0.194,LLLL,LLLL
       152,2021/8/6,18:32:32,     0,+ 0.056,+ 0.043,LLLL,LLLL
       153,2021/8/6,18:32:33,     0,- 0.141,+ 0.030,LLLL,LLLL
       154,2021/8/6,18:32:34,     0,+ 0.000,- 0.093,LLLL,LLLL
       155,2021/8/6,18:32:35,     0,- 0.203,+ 0.056,LLLL,LLLL
       156,2021/8/6,18:32:36,     0,- 0.076,+ 0.229,LLLL,LLLL
       157,2021/8/6,18:32:37,     0,- 0.017,- 0.160,LLLL,LLLL
       158,2021/8/6,18:32:38,     0,+ 0.014,- 0.204,LLLL,LLLL
       159,2021/8/6,18:32:39,     0,+ 0.012,+ 0.026,LLLL,LLLL
       160,2021/8/6,18:32:40,     0,- 0.085,+ 0.153,LLLL,LLLL
       161,2021/8/6,18:32:41,     0,- 0.002,- 0.125,LLLL,LLLL
       162,2021/8/6,18:32:42,     0,+ 0.041,- 0.173,LLLL,LLLL
       163,2021/8/6,18:32:43,     0,- 0.092,+ 0.090,LLLL,LLLL
       164,2021/8/6,18:32:44,     0,- 0.353,- 0.194,LLLL,LLLL
       165,2021/8/6,18:32:45,     0,- 0.042,+ 0.015,LLLL,LLLL
       166,2021/8/6,18:32:46,     0,- 0.052,- 0.086,LLLL,LLLL
       167,2021/8/6,18:32:47,     0,- 0.234,- 0.024,LLLL,LLLL
       168,2021/8/6,18:32:48,     0,- 0.026,- 0.217,LLLL,LLLL
       169,2021/8/6,18:32:49,     0,- 0.032,- 0.015,LLLL,LLLL
       170,2021/8/6,18:32:50,     0,- 0.098,- 0.106,LLLL,LLLL
       171,2021/8/6,18:32:51,     0,- 0.097,- 0.122,LLLL,LLLL
       172,2021/8/6,18:32:52,     0,- 0.111,+ 0.198,LLLL,LLLL
       173,2021/8/6,18:32:53,     0,- 0.274,+ 0.214,LLLL,LLLL
       174,2021/8/6,18:32:54,     0,- 0.073,+ 0.008,LLLL,LLLL
       175,2021/8/6,18:32:55,     0,- 0.043,+ 0.018,LLLL,LLLL
       176,2021/8/6,18:32:56,     0,+ 0.020,- 0.044,LLLL,LLLL
       177,2021/8/6,18:32:57,     0,+ 0.152,- 0.293,LLLL,LLLL
       178,2021/8/6,18:32:58,     0,- 0.176,+ 0.194,LLLL,LLLL
       179,2021/8/6,18:32:59,     0,- 0.126,- 0.127,LLLL,LLLL
       180,2021/8/6,18:33:00,     0,+ 0.018,- 0.152,LLLL,LLLL
       181,2021/8/6,18:33:01,     0,+ 0.021,+ 0.004,LLLL,LLLL
       182,2021/8/6,18:33:02,     0,- 0.142,- 0.203,LLLL,LLLL
       183,2021/8/6,18:33:03,     0,- 0.040,+ 0.026,LLLL,LLLL
       184,2021/8/6,18:33:04,     0,- 0.094,- 0.338,LLLL,LLLL
       185,2021/8/6,18:33:05,     0,- 0.107,+ 0.100,LLLL,LLLL
       186,2021/8/6,18:33:06,     0,- 0.026,- 0.038,LLLL,LLLL
       187,2021/8/6,18:33:07,     0,- 0.093,- 0.198,LLLL,LLLL
       188,2021/8/6,18:33:08,     0,- 0.153,- 0.092,LLLL,LLLL
       189,2021/8/6,18:33:09,     0,- 0.524,- 0.776,LLLL,LLLL
       190,2021/8/6,18:33:10,     0,+ 0.210,+ 0.069,LLLL,LLLL
       191,2021/8/6,18:33:11,     0,- 0.172,- 1.349,LLLL,LLLL
       192,2021/8/6,18:33:12,     0,+ 0.013,- 2.393,LLLL,LLLL
       193,2021/8/6,18:33:13,     0,+ 1.005,+ 1.006,LLLL,LLLL
       194,2021/8/6,18:33:14,     0,+ 1.179,- 0.061,LLLL,LLLL
       195,2021/8/6,18:33:15,     0,+ 0.477,- 0.002,LLLL,LLLL
       196,2021/8/6,18:33:16,     0,+ 0.425,+ 0.344,LLLL,LLLL
       197,2021/8/6,18:33:17,     0,+ 1.045,- 1.747,LLLL,LLLL
       198,2021/8/6,18:33:18,     0,+ 0.221,- 1.881,LLLL,LLLL
       199,2021/8/6,18:33:19,     0,+ 0.341,- 1.325,LLLL,LLLL
       200,2021/8/6,18:33:20,     0,+ 0.507,- 1.244,LLLL,LLLL
       201,2021/8/6,18:33:21,     0,+ 1.254,+ 1.697,LLLL,LLLL
       202,2021/8/6,18:33:22,     0,+ 1.138,- 0.012,LLLL,LLLL
       203,2021/8/6,18:33:23,     0,+ 0.579,+ 0.411,LLLL,LLLL
       204,2021/8/6,18:33:24,     0,+ 0.940,- 0.509,LLLL,LLLL
       205,2021/8/6,18:33:25,     0,+ 0.719,- 1.166,LLLL,LLLL
       206,2021/8/6,18:33:26,     0,+ 0.583,- 0.331,LLLL,LLLL
       207,2021/8/6,18:33:27,     0,+ 1.589,- 1.024,LLLL,LLLL
       208,2021/8/6,18:33:28,     0,+ 1.408,- 3.328,LLLL,LLLL
       209,2021/8/6,18:33:29,     0,+ 2.308,+ 1.060,LLLL,LLLL
       210,2021/8/6,18:33:30,     0,+ 1.090,+ 0.612,LLLL,LLLL
       211,2021/8/6,18:33:31,     0,+ 1.553,- 0.693,LLLL,LLLL
       212,2021/8/6,18:33:32,     0,+ 1.284,+ 0.866,LLLL,LLLL
       213,2021/8/6,18:33:33,     0,+ 0.742,- 1.326,LLLL,LLLL
       214,2021/8/6,18:33:34,     0,+ 0.854,- 2.863,LLLL,LLLL
       215,2021/8/6,18:33:35,     0,+ 1.237,- 0.152,LLLL,LLLL
       216,2021/8/6,18:33:36,     0,+ 1.146,- 1.351,LLLL,LLLL
       217,2021/8/6,18:33:37,     0,+ 0.741,+ 1.944,LLLL,LLLL
       218,2021/8/6,18:33:38,     0,+ 0.865,- 1.381,LLLL,LLLL
       219,2021/8/6,18:33:39,     0,+ 1.618,+ 0.631,LLLL,LLLL
       220,2021/8/6,18:33:40,     0,+ 1.617,- 0.394,LLLL,LLLL
       221,2021/8/6,18:33:41,     0,+ 2.591,+ 0.863,LLLL,LLLL
       222,2021/8/6,18:33:42,     0,+ 1.134,- 2.395,LLLL,LLLL
       223,2021/8/6,18:33:43,     0,+ 1.338,- 1.064,LLLL,LLLL
       224,2021/8/6,18:33:44,     0,+ 1.938,+ 0.113,LLLL,LLLL
       225,2021/8/6,18:33:45,     0,+ 1.404,- 0.219,LLLL,LLLL
       226,2021/8/6,18:33:46,     0,+ 0.922,+ 2.920,LLLL,LLLL
       227,2021/8/6,18:33:47,     0,+ 0.114,- 1.433,LLLL,LLLL
       228,2021/8/6,18:33:48,     0,+ 0.834,+ 1.075,LLLL,LLLL
       229,2021/8/6,18:33:49,     0,+ 0.443,- 1.651,LLLL,LLLL
       230,2021/8/6,18:33:50,     0,+ 1.410,+ 1.144,LLLL,LLLL
       231,2021/8/6,18:33:51,     0,+ 1.318,- 2.386,LLLL,LLLL
       232,2021/8/6,18:33:52,     0,+ 1.471,- 0.387,LLLL,LLLL
       233,2021/8/6,18:33:53,     0,+ 1.965,- 1.141,LLLL,LLLL
       234,2021/8/6,18:33:54,     0,+ 1.076,- 1.674,LLLL,LLLL
       235,2021/8/6,18:33:55,     0,+ 1.133,+ 0.708,LLLL,LLLL
       236,2021/8/6,18:33:56,     0,+ 1.106,+ 0.499,LLLL,LLLL
       237,2021/8/6,18:33:57,     0,+ 0.833,- 0.545,LLLL,LLLL
       238,2021/8/6,18:33:58,     0,+ 1.326,- 0.214,LLLL,LLLL
